Gene Symbol,   Genes Names,Frequency,Chromosome ,Start,Stop,CodingLength,log2FoldChange,padj,DE
SSTR1,somatostatin receptor 1,5,chr14,38677204,38682268,4291,4.339,0.004961829,Up
SYK,spleen associated tyrosine kinase,14,chr9,93564012,93660842,5311,-2.603,6.82E-07,Down
TAF1,TATA-box binding protein associated factor 1,4,chrX,70586114,70685855,7692,2.161,3.07E-08,Up
TALDO1,transaldolase 1,1,chr11,747432,765024,1243,-3.185,1.01E-09,Down
TBX2,T-box transcription factor 2,2,chr17,59477257,59486827,3380,2.298,9.68E-05,Up
TFEB,transcription factor EB,2,chr6,41651716,41703997,2468,-2.18,8.85E-09,Down
TFF3,trefoil factor 3,16,chr21,43731777,43735706,1054,-2.863,0.015027827,Down
THBS1,thrombospondin 1,22,chr15,39873280,39889668,5790,2.016,0.000337568,Up
TIGIT,T cell immunoreceptor with Ig and ITIM domains,4,chr3,114012833,114029135,2968,-2.98,0.000799907,Down
TIMP1,TIMP metallopeptidase inhibitor 1,81,chrX,47441690,47446190,916,-2.45,0.003597283,Down
TKT,transketolase,7,chr3,53258723,53290130,3066,-2.087,9.98E-06,Down
TLL1,tolloid like 1,9,chr4,166794410,167025609,7777,2.408,0.00088103,Up
TMSB4X,thymosin beta 4 X-linked,3,chrX,12993226,12995346,629,-2.54,1.68E-08,Down
TNFRSF11B,TNF receptor superfamily member 11b,1,chr8,119935796,119964383,2346,4.42,9.08E-09,Up
TNFSF4,TNF superfamily member 4,7,chr1,173152870,173176471,3493,2.038,0.012556878,Up
TPO,thyroid peroxidase,48,chr2,1417233,1546499,3146,4.743,7.91E-06,Up
TRPC1,transient receptor potential cation channel subfamily C member 1,5,chr3,142443266,142526729,4170,2.386,0.000221351,Up
TRPC6,transient receptor potential cation channel subfamily C member 6,2,chr11,101322295,101454659,4612,2.026,0.005354753,Up
TSPAN13,tetraspanin 13,1,chr7,16793351,16824161,1902,3.215,8.59E-07,Up
TSPO,translocator protein,13,chr22,43547520,43559248,1169,-3.061,9.42E-08,Down
TST,thiosulfate sulfurtransferase,2,chr22,37406906,37415491,1128,-2.075,7.68E-07,Down
TUB,TUB bipartite transcription factor,1,chr11,8060180,8127654,6602,2.445,8.41E-06,Up
TXN,thioredoxin,1,chr9,113006092,113018920,868,-2.679,2.39E-11,Down
VEGFA,vascular endothelial growth factor A,26,chr6,43737946,43754223,3661,2.277,1.55E-06,Up
VIP,vasoactive intestinal peptide,28,chr6,153071933,153080902,1586,3.565,0.000139777,Up
VSIG4,V-set and immunoglobulin domain containing 4,6,chrX,65241580,65259967,2192,-3.098,3.11E-05,Down
WNT10A,Wnt family member 10A,2,chr2,219745255,219758651,2375,-3.581,0.000788508,Down
WNT5A,Wnt family member 5A,2,chr3,55499743,55521670,6245,2.58,0.001323655,Up
XRCC3,X-ray repair cross complementing 3,8,chr14,104163954,104181823,2639,2.427,2.16E-09,Up
YAP1,Yes1 associated transcriptional regulator,14,chr11,101981192,102104154,5692,2.445,1.25E-06,Up
ZEB1,zinc finger E-box binding homeobox 1,37,chr10,31608101,31818742,6389,2.834,6.27E-07,Up
ZNF454,zinc finger protein 454,1,chr5,178368194,178393218,2172,2.462,3.24E-05,Up
ZNF622,zinc finger protein 622,1,chr5,16451628,16465894,1692,-2.27,3.03E-09,Down
